question|answer|intent|category
When was UET Taxila established?|UET Taxila was established in 1975 as an engineering college and later upgraded to university status.|university_history|History
Who was the first vice chancellor of UET Taxila?|Prof. Dr. Muhammad Aslam was the first vice chancellor.|university_history|History
How has UET Taxila developed over the years?|UET Taxila has expanded from a single engineering department to multiple faculties including Electrical, Mechanical, Civil, and Computer Engineering.|university_development|Development
What are the major milestones of UET Taxila?|Key milestones include upgrading to a university, launching graduate programs, international collaborations, and research centers.|university_development|Development
Where is UET Taxila located?|It is located in Taxila, Punjab, Pakistan, near the historic Taxila ruins.|location_info|History
What is the vision of UET Taxila?|To become a leading engineering university recognized for education, research, and innovation.|mission_vision|Development
What is the mission of UET Taxila?|To provide high-quality education and research opportunities in engineering and technology.|mission_vision|Development
How many campuses does UET Taxila have?|The main campus is in Taxila; other affiliated campuses exist for specialized programs.|campus_info|Development
What are the core values of UET Taxila?|Integrity, Innovation, Excellence, and Professionalism.|university_values|Development
How many faculties exist at UET Taxila?|UET Taxila has faculties in Electrical, Mechanical, Civil, Software, and Basic Sciences.|faculties_info|Departments
Does UET Taxila collaborate internationally?|Yes, collaborations with universities in USA, UK, and China exist for research and exchange programs.|international_collaboration|Development
Is UET Taxila recognized by HEC?|Yes, it is recognized by the Higher Education Commission of Pakistan.|accreditation|Development
Who governs UET Taxila?|The Chancellor is the Governor of Punjab, and the Vice Chancellor manages academic and administrative affairs.|governance|History
What is the motto of UET Taxila?|Knowledge, Innovation, and Service.|university_motto|History
What historical landmarks are present on campus?|Some old colonial-era buildings and monuments are preserved as landmarks.|campus_landmarks|History
What undergraduate programs are offered?|BS in Electrical, Mechanical, Civil, Computer, Software Engineering and more.|program_info|Programs
Does UET Taxila offer postgraduate programs?|Yes, MS and PhD programs are available in various engineering fields.|program_info|Programs
Is Computer Science offered?|Yes, BSCS and MSCS programs are available.|program_info|Programs
Is Software Engineering available?|Yes, both undergraduate and graduate programs.|program_info|Programs
What departments exist at UET Taxila?|Departments include Electrical, Mechanical, Civil, Computer, Software, Basic Sciences, Humanities.|department_info|Departments
Are online courses available?|Yes, select courses and MOOCs are available.|course_info|Programs
Do departments collaborate with industry?|Yes, research projects with industries are ongoing.|industry_collaboration|Development
What is the student-faculty ratio?|Approximately 15:1 across all departments.|faculty_ratio|Departments
Are Mechanical Engineering workshops available?|Yes, workshops with machinery and equipment.|workshop_facilities|Departments
Do departments have student societies?|Yes, each department has technical societies.|student_societies|Campus Life
What is the eligibility criteria for BS programs?|FSc (Pre-Engineering) with minimum required marks.|admission_criteria|Admission
Is ECAT mandatory for engineering programs?|Yes, all applicants must pass ECAT.|admission_test|Admission
Can international students apply?|Yes, international students can apply under separate quota.|international_admission|Admission
How to apply online?|Applications submitted via official university admission portal.|application_process|Admission
What documents are required for admission?|CNIC, Intermediate marksheets, passport-size photos, domicile certificate.|admission_documents|Admission
Are merit-based scholarships considered?|Yes, top students can get merit scholarships.|scholarship_info|Scholarships
Are scholarships only for top students?|No, scholarships also available based on need and special programs.|scholarship_info|Scholarships
Do scholarships cover full tuition?|Some cover full tuition, others partial based on merit.|scholarship_coverage|Scholarships
Does UET Taxila provide hostel facilities?|Yes, separate hostels for boys and girls with limited seats.|hostel_availability|Hostel
Are hostel rooms shared?|Yes, usually 2-3 students per room.|hostel_rooms|Hostel
Are hostel fees refundable?|Partial refund according to university policy.|hostel_fees|Hostel
Is medical facility available on campus?|Yes, a university health center operates for students.|health_services|Campus Life
Are students allowed vehicles on campus?|Yes, parking permits required.|vehicle_policy|Campus Life
Are students involved in research?|Yes, research assistantships and lab work included.|research_opportunities|Students
Is the grading system CGPA based?|Yes, maximum CGPA is 4.0.|grading_system|Students
What is the minimum attendance required?|Minimum 75% attendance is required for all courses.|attendance_policy|Students
When are semester exams conducted?|Exams are held at the end of each semester.|exam_schedule|Exams
